IDENTIFIER	NoMGd1_4	NoMGd2_4	NoMGd3_4	NoMGd1_12	NoMGd2_12	NoMGd3_12	NoMGd1_24	NoMGd2_24	NoMGd3_24	MGd1_4	MGd2_4	MGd3_4	MGd1_12	MGd2_12	MGd3_12	MGd1_24	MGd2_24	MGd3_24
RAD21	338.3	614.1	435.5	309.0	387.6	174.0	444.7	395.5	374.5	226.6	375.4	173.9	312.8	258.1	523.9	331.9	310.7	289.2
RAD21	466.2	180.5	235.0	263.5	396.8	164.5	468.0	70.7	396.2	510.9	206.9	261.3	336.8	245.0	297.6	380.5	198.1	270.4
WDR1	883.1	1122.7	1532.4	899.3	976.4	875.8	1037.5	643.5	917.9	947.9	1679.6	1016.5	789.6	884.4	1188.7	1123.7	910.5	908.7
NCL	3339.3	1908.4	2519.7	3030.1	3072.0	2748.3	3338.1	2295.1	3349.0	2870.6	2414.3	3043.3	2949.0	2717.3	2902.9	3430.5	2694.3	4145.2
WDR1	819.1	981.9	916.1	459.4	789.2	897.1	1038.5	1078.9	773.8	821.7	951.4	689.4	846.3	843.0	893.9	654.3	864.6	815.1
AP2B1	1050.4	788.8	1466.9	1141.6	1214.4	866.3	1227.8	1157.4	1445.8	1059.8	1024.9	1665.2	870.3	1119.6	1022.7	1058.0	880.6	1104.8
AP2M1	1043.7	1321.4	1332.1	1157.6	1436.6	1076.0	1170.4	1344.1	1072.8	938.2	1022.6	1120.4	1162.6	1140.0	1492.0	1081.2	1287.7	1513.1
CLTC	3812.9	3502.0	4472.4	3928.5	3876.5	4568.1	4053.7	3109.9	4233.2	3854.6	3976.3	3930.4	3862.7	3921.4	4775.6	3837.7	3733.5	4293.8
AP2B1	775.0	792.8	705.3	712.6	641.5	487.6	624.4	538.7	722.3	789.9	671.5	540.1	537.4	631.8	522.6	640.4	714.1	471.6
MLEC	458.2	265.3	237.5	279.8	305.6	298.0	205.0	375.9	394.3	248.9	234.3	204.6	205.7	278.7	356.6	290.6	528.2	427.2
MLEC	1035.2	1043.8	1213.2	704.7	1067.3	928.9	1000.4	912.5	884.6	880.3	975.1	1440.6	1108.9	1624.3	1463.6	1062.0	1027.5	1066.9
